AUDITORIUM-PC 2399 85387.10380958
YPOTIER-PC 2399 89120.608155964
ABAILEY-PC 2399 86607.16576506
GENOME-2K 2399 85738.095229326
IGOR-PC 2399 93929.200503488
LCARLSON-PC 2524 91495.846067499
JAN-PC 2532 89643.669057661
SHANKAR-3-2K 2593 90729.96740793
QIAN-PC 2593 102298.05306674
SINCOVIT-2K 2593 91338.143601873
BORG-2K 2593 97341.281001754
SHANKAR6-PC 2593 88594.763773624
DECASTRO-PC 2789 109703.13780744
CUTCHIN2-PC 2789 100563.52604492
GILBERT-PC 2789 101039.39961489
CLAMPS 2792 97343.903076369
BENDER 2792 100201.18027552
FLEXO 2792 111842.03710433
DONBOT 2792 100740.87258228
ITLW-4 2792 94259.169154056
ITLW-2 2793 100469.27124504
ITLW-5 2793 100817.95662439
SAUNDERS-PC 2799 99347.326493215
CCWONG-PC 2992 104423.68242218
KG 2992 102492.53334371
