@Machine id
@Number of Cores
@Power monitor
@Power GPU
@set of supported CPU speed
@set of power consumption associed to each supported CPU speed
@set of state transition supported
@set of latency associed to each state transition supported
@set of power consumption associed to each state transition supported 

V2-linux109	2	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
V3-linux109	2	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V5-linux109	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux108	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V4-linux108	4	0	0	3000000|2000000	120|80	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V4-linux13	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
linux11	2	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
V2-linux11	1	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
linux16	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux16	2	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V4-linux16	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V3-linux17	2	0	0	1862000|1596000	65|55.71	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.71|3.33|0.7
V4-linux17	1	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
linux14	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux14	4	0	0	2200000|2000000	120|80	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V4-linux14	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
V2-linux18	2	0	0	2200000	65	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|50|3.33|0.7
linux19	2	0	0	2200000	65	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|50|3.33|0.7
V2-linux19	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
V4-linux19	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
linux198	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux198	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
V2-linux199	2	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V3-linux199	2	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V4-linux199	1	0	0	3000000|2000000	65|43.33	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|43.33|3.33|0.7
V3-linux195	2	0	0	1800000|1200000	65|43.33	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|43.33|3.33|0.7
V4-linux195	2	0	0	2200000|1600000|1200000	65|47.27|35.45	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|35.45|3.33|0.7
linux196	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
V2-linux196	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
linux180	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V4-linux180	2	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V3-linux190	1	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
V4-linux190	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.65|3.33|0.7
V3-linux223	2	0	0	3000000|2000000	65|43.33	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|43.33|3.33|0.7
V4-linux223	4	0	0	3000000|2000000	120|80	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux221	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
V4-linux221	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux135	2	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
V5-linux135	1	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
linux61	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
