MachineName Time Duracao
408-PC	1062605837	2563
CRB-CONF-PC	1062605837	2563
DING-2K	1062605837	2563
VISPC-6	1062605903	900
CCWONG-PC	1062605963	900
STOCKS-PC	1062605966	2434
MAFALDA	1062605968	900
CECEROSE	1062606012	2388
STECKLER2-PC	1062606026	900
MOORE1-PC	1062606027	900
PANCAKE-PC	1062606029	900
SHINDYALOV-2K	1062606034	900
WATCHIT	1062606042	1911
SAUNDERS-PC	1062606075	2325
BWEST-PC2	1062606078	900
RAGHU-PC	1062606078	900
WOOLEY-PC	1062606149	2251
DUSTINS-PC	1062606201	900
GREENACRES	1062606202	900
PHLEBOTOMIST	1062606202	900
LPW12	1062606202	901
KAMRATHA-PC	1062606202	1825
DAN	1062606203	900
SLAWEK-2K	1062606203	900
KANGA	1062606206	900
LPW21	1062606206	900
ENS-GUEST-PC	1062606208	900
MDIMEGLI-PC	1062606209	900
OPS-PC	1062606210	900
LPW16	1062606211	900
LPW7	1062606212	900
PUD-2K	1062606233	940
CYLEE-2K	1062606256	900
GRIBSKOV-PC	1062606272	900
NESTLE-2K	1062606281	900
CRB158A-1	1062606284	2116
IBSPC1	1062606379	900
T-CYGNUS	1062606387	2013
SMALESSI-2K	1062606477	900
STEWART-2K	1062606542	1059
ALI-2K	1062606543	900
462-PC	1062606556	902
KATE-2K	1062606574	900
SHANKAR4-PC	1062606616	900
BOWERS-PC	1062606617	900
HAWK4-PC	1062606623	900
LINDA-PC	1062606683	900
MORELAND-2K	1062606690	900
LN1	1062606761	900
KSTOCKS2-PC	1062606762	1638
T-ALTAIR	1062606762	1638
SUTTON-PC	1062606767	900
POTOROO-2K	1062606775	1625
WISHBONE-2K	1062606796	900
FBADMIN-PC	1062606824	900
STARSCREAM	1062606837	900
JAN-PC	1062606864	900
NOT-PC	1062606864	1536
SEKAR-2K	1062606865	900
LAWRENCE-2K	1062606871	1529
LEAH-2K	1062606876	900
HJASSO	1062606883	900
MWAN-2K	1062606906	900
GENOME-2K	1062606929	1471
LAGRANGE-2K	1062606945	1455
BIGBERTHA	1062606946	899
SCHUI-PC	1062606961	900
CCWONG-PC	1062606983	900
LPW25	1062606991	1409
SHANKAR-3-2K	1062606998	1402
DONBOT	1062607059	1341
T-INDI	1062607075	1325
HAWK3-PC	1062607100	900
VISPC-6	1062607101	900
CSMITH-PC	1062607112	900
SHANKAR3-PC	1062607113	900
BWEST-PC2	1062607114	1286
LDOLAN-2K	1062607118	900
AMOREIRA-PC	1062607168	900
BORG-2K	1062607171	1137
JCZECH-2K	1062607179	900
APOLLO-2K	1062607186	1014
T-BESSEL	1062607191	1209
SHINDYALOV-2K	1062607208	1192
OPS-PC	1062607297	1016
KWON-2K	1062607346	1054
OUYAR	1062607395	1005
MINIME	1062607437	963
BIGBEAR-2K	1062607443	900
PANCAKE-PC	1062607470	900
LPW21	1062607473	927
MDIMEGLI-PC	1062607477	900
